"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 21 09:17:37 GMT 2025","Fri Mar 21 09:17:38 GMT 2025","639","","AuthorsApiTests","","AuthorsApiTests","testUpdateAuthor","Update author",""
"passed","Fri Mar 21 09:17:37 GMT 2025","Fri Mar 21 09:17:37 GMT 2025","585","","BooksApiTests","","BooksApiTests","testCreateBook","Create book",""
"passed","Fri Mar 21 09:17:34 GMT 2025","Fri Mar 21 09:17:39 GMT 2025","5755","","BooksApiTests","","BooksApiTests","testFetchBooks","Fetch a list of books",""
"passed","Fri Mar 21 09:17:32 GMT 2025","Fri Mar 21 09:17:37 GMT 2025","5070","","BooksApiTests","","BooksApiTests","testFetchExistingBookById","Fetch existing book by id",""
"passed","Fri Mar 21 09:17:32 GMT 2025","Fri Mar 21 09:17:37 GMT 2025","5064","","BooksApiTests","","BooksApiTests","testUpdateBook","Update book",""
"passed","Fri Mar 21 09:17:37 GMT 2025","Fri Mar 21 09:17:38 GMT 2025","626","","AuthorsApiTests","","AuthorsApiTests","testFetchNonExistingAuthorById","Fetch non-existing author by id",""
"passed","Fri Mar 21 09:17:37 GMT 2025","Fri Mar 21 09:17:39 GMT 2025","2627","","AuthorsApiTests","","AuthorsApiTests","testFetchAuthors","Fetch a list of authors",""
"passed","Fri Mar 21 09:17:37 GMT 2025","Fri Mar 21 09:17:37 GMT 2025","589","","AuthorsApiTests","","AuthorsApiTests","testDeleteAuthor","Delete author",""
"passed","Fri Mar 21 09:17:37 GMT 2025","Fri Mar 21 09:17:37 GMT 2025","597","","BooksApiTests","","BooksApiTests","testDeleteBook","Delete book",""
"passed","Fri Mar 21 09:17:32 GMT 2025","Fri Mar 21 09:17:37 GMT 2025","5065","","AuthorsApiTests","","AuthorsApiTests","testCreateAuthor","Create author",""
"passed","Fri Mar 21 09:17:37 GMT 2025","Fri Mar 21 09:17:38 GMT 2025","620","","AuthorsApiTests","","AuthorsApiTests","testFetchExistingAuthorById","Fetch existing author by id",""
"passed","Fri Mar 21 09:17:32 GMT 2025","Fri Mar 21 09:17:37 GMT 2025","5089","","BooksApiTests","","BooksApiTests","testFetchNonExistingBookById","Fetch non-existing book by id",""
